종목코드,현재가
005945,22500.0
0162M0,10055.0
306200,149600.0
072710,90300.0
271940,11490.0
448300,22990.0
009900,7920.0
148070,103735.0
471990,25035.0
403550,10790.0
426020,32150.0
014830,60400.0
092230,96500.0
760013,80935.0
357120,4120.0
005389,171700.0
001200,4125.0
0173Y0,11000.0
005420,10380.0
302450,71155.0
0060H0,12660.0
480260,53860.0
016590,9830.0
003000,4005.0
241180,34505.0
385720,25510.0
473290,10890.0
015360,14400.0
0210A0,7255.0
183190,10850.0
002810,21050.0
476760,8930.0
317400,9960.0
484880,23050.0
458250,34600.0
245710,29295.0
344820,23650.0
020000,17560.0
029530,38700.0
0046A0,9575.0
001940,26400.0
385550,114285.0
008730,15050.0
132030,24620.0
439860,113500.0
091180,26150.0
469070,10985.0
194370,12700.0
031430,10530.0
006220,9730.0
126560,3365.0
0080G0,10490.0
092790,14050.0
520054,182330.0
0040Y0,8035.0
0131V0,11090.0
950210,5980.0
027410,3735.0
003350,15770.0
474590,45630.0
0120G0,47850.0
060980,39650.0
0167Z0,7815.0
105630,8810.0
006405,217500.0
310960,63840.0
217590,14550.0
011760,26500.0
089590,4345.0
0144L0,9585.0
007690,37650.0
005610,40400.0
0094M0,17300.0
442570,17425.0
104700,9500.0
0026S0,12825.0
279530,17485.0
015860,7000.0
170900,35450.0
011930,16890.0
0043Y0,19690.0
001230,2185.0
385510,38810.0
017810,8850.0
472170,14040.0
02826K,229500.0
190620,102095.0
456880,12175.0
0182R0,10650.0
0052D0,15370.0
570090,55830.0
002310,8490.0
462900,12720.0
000157,369000.0
145720,38200.0
453810,11310.0
097520,18810.0
012030,1621.0
0052S0,11590.0
448630,15130.0
002020,25100.0
024720,9410.0
004310,10070.0
270810,13765.0
096760,4330.0
381970,6510.0
485540,15485.0
0008S0,9740.0
020120,8420.0
010820,6390.0
0111P0,10840.0
126720,21700.0
105840,15310.0
025860,6190.0
010955,76400.0
009160,4690.0
009290,6130.0
454780,99385.0
272450,5780.0
200880,11140.0
123890,2455.0
108670,33500.0
000430,4845.0
489030,6390.0
136340,103970.0
433330,21940.0
0098F0,16850.0
016800,25850.0
244920,13120.0
481190,17195.0
005720,5610.0
034830,1167.0
475300,22660.0
018250,11130.0
091170,16625.0
003120,22000.0
483320,24895.0
001390,4395.0
002710,11100.0
001750,19220.0
497880,50110.0
026890,7480.0
439870,87460.0
475080,7960.0
0038A0,15240.0
570022,57375.0
441680,10865.0
084690,7890.0
058430,4760.0
033270,17930.0
084010,8260.0
005950,10770.0
471780,36605.0
461490,14645.0
002900,6770.0
273140,114610.0
122900,8360.0
473330,7950.0
0094K0,99485.0
004430,11600.0
010580,2500.0
453870,11060.0
286940,18170.0
003200,11960.0
421320,29300.0
307520,22210.0
078520,10940.0
017390,54700.0
471040,29500.0
037710,35100.0
010690,7650.0
0183V0,11865.0
091810,2610.0
432320,1761.0
123320,110305.0
486830,53360.0
213610,21965.0
423170,58415.0
196230,117055.0
139230,13215.0
004360,13490.0
0228G0,10285.0
0162Y0,7515.0
005680,12740.0
003960,27750.0
472920,97915.0
409820,19985.0
005430,79800.0
228790,4325.0
483340,22220.0
493810,11470.0
0053L0,9255.0
334890,3590.0
044820,25950.0
364970,6680.0
283580,15060.0
001790,2870.0
495230,31190.0
448540,26470.0
005500,18470.0
298690,1501.0
007160,48900.0
003920,42950.0
136490,10220.0
053690,22150.0
388420,27040.0
0182S0,12675.0
008490,20500.0
003070,9320.0
226320,10800.0
404990,3820.0
363580,55820.0
363570,86175.0
348950,1182.0
000680,2955.0
025000,56000.0
329650,14025.0
472160,19255.0
092200,5910.0
0092C0,50300.0
134380,10440.0
030210,3760.0
005010,4070.0
001470,5820.0
452360,13250.0
001460,36200.0
117700,7290.0
044450,10000.0
000540,3510.0
000490,7820.0
0089D0,13460.0
478150,18485.0
003720,6600.0
0119H0,9910.0
0030R0,3745.0
028100,19940.0
002320,14370.0
500029,22290.0
437080,96155.0
433500,60155.0
009680,10230.0
003650,127600.0
000050,8090.0
034120,11950.0
001340,4900.0
458260,45945.0
442320,35205.0
422420,6725.0
498270,14620.0
035510,15670.0
475560,14770.0
488980,52195.0
305080,12120.0
033920,7600.0
0104N0,20960.0
900140,1115.0
03473K,379000.0
017860,12110.0
490090,16185.0
0233J0,10630.0
001250,2570.0
000320,15940.0
266160,33330.0
0151S0,15525.0
088260,3330.0
157500,11830.0
013580,23500.0
011500,13410.0
035150,10600.0
486450,19185.0
0232A0,100255.0
332930,143465.0
377190,2350.0
051905,99000.0
271050,1696.0
000650,143600.0
520094,102435.0
244580,7820.0
004980,8290.0
0005A0,9405.0
003555,66800.0
267770,83800.0
298000,53000.0
000480,4275.0
530145,11750.0
500099,19950.0
005960,8650.0
100250,3100.0
037270,3110.0
0069M0,13535.0
039570,7590.0
0115D0,7610.0
0204D0,5775.0
117580,7070.0
0047A0,12820.0
0192Z0,100815.0
495060,28185.0
433980,15850.0
302190,49840.0
004560,12750.0
000390,7040.0
339770,3825.0
053210,4020.0
414780,13940.0
480040,14010.0
003520,1041.0
495550,33005.0
