종목코드,현재가,거래대금,시가,고가,저가,거래량,NXT거래대금
008830,6260.0,1237000000.0,6270.0,6480.0,6240.0,195478.0,
443670,5000.0,2305000000.0,5200.0,5210.0,4980.0,454551.0,
256940,5970.0,140000000.0,5980.0,6070.0,5840.0,23620.0,
017510,7820.0,2104000000.0,7910.0,8160.0,7780.0,263518.0,
042510,10710.0,4219000000.0,11180.0,11350.0,10590.0,385009.0,
009780,6750.0,53000000.0,6770.0,6830.0,6700.0,7781.0,
094840,12100.0,118000000.0,11980.0,12130.0,11610.0,9795.0,
387690,15520.0,7868000000.0,17230.0,17360.0,15300.0,485090.0,
950250,3310.0,1744000000.0,3505.0,3535.0,3305.0,514147.0,
172670,13130.0,1035000000.0,13910.0,13910.0,13100.0,77741.0,
293580,1238.0,339000000.0,1225.0,1240.0,1185.0,279503.0,
037350,7710.0,1573000000.0,7790.0,7990.0,7570.0,202242.0,
079650,5850.0,3675000000.0,6160.0,6180.0,5850.0,614607.0,
336680,2985.0,25000000.0,2990.0,2995.0,2935.0,8496.0,
052260,3880.0,120000000.0,3875.0,3895.0,3790.0,31099.0,
041590,2370.0,0.0,0.0,0.0,0.0,0.0,
333430,3775.0,225000000.0,3825.0,3860.0,3750.0,59599.0,
049520,3760.0,151000000.0,3800.0,3825.0,3735.0,40183.0,
122450,2585.0,79000000.0,2630.0,2650.0,2575.0,30269.0,
115500,9650.0,1246000000.0,10270.0,10300.0,9650.0,125511.0,
290720,3035.0,342000000.0,3030.0,3095.0,2850.0,113298.0,
297890,1581.0,703000000.0,1618.0,1637.0,1555.0,441665.0,
047310,3145.0,210000000.0,3145.0,3185.0,3115.0,66504.0,
051980,1035.0,0.0,0.0,0.0,0.0,0.0,
101170,8500.0,258000000.0,8770.0,8840.0,8500.0,29797.0,
308080,5590.0,495000000.0,5720.0,5850.0,5560.0,86801.0,
458650,7600.0,40000000.0,7640.0,7700.0,7550.0,5204.0,
051360,11840.0,173000000.0,11810.0,12010.0,11700.0,14581.0,25650000.0
452190,4715.0,2057000000.0,4840.0,4950.0,4645.0,427623.0,
0011A0,12080.0,4393000000.0,13040.0,13050.0,12070.0,351470.0,
475230,10330.0,890000000.0,10200.0,10900.0,10140.0,84694.0,
053080,8640.0,397000000.0,8940.0,9030.0,8570.0,45263.0,
054050,7000.0,109000000.0,7060.0,7100.0,7000.0,15407.0,
141000,9250.0,328000000.0,9320.0,9400.0,9170.0,35284.0,
086980,1789.0,223000000.0,1842.0,1842.0,1779.0,123514.0,
071280,7290.0,1041000000.0,7360.0,7480.0,7210.0,141079.0,
389020,16120.0,1635000000.0,16520.0,17180.0,16050.0,98110.0,
473980,10190.0,267000000.0,10620.0,10620.0,10120.0,26025.0,140767000.0
474610,7680.0,855000000.0,7780.0,7880.0,7580.0,110669.0,
018120,16710.0,4000000.0,16540.0,16720.0,16540.0,238.0,
067990,3780.0,101000000.0,3795.0,3815.0,3755.0,26599.0,
063570,3230.0,51000000.0,3300.0,3325.0,3220.0,15829.0,
036630,7870.0,32000000.0,7850.0,8000.0,7840.0,4096.0,
090850,4895.0,203000000.0,4955.0,4960.0,4895.0,41359.0,
259630,9000.0,490000000.0,9090.0,9240.0,8970.0,54172.0,
175250,1780.0,568000000.0,1700.0,1870.0,1600.0,319829.0,
166480,2070.0,151000000.0,2070.0,2170.0,2035.0,71699.0,
217270,2385.0,54000000.0,2360.0,2400.0,2360.0,22542.0,
091440,2955.0,1209000000.0,2855.0,2955.0,2810.0,418450.0,
